Id,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
3799,80,24.3,7.8,3,6.4,45.7,0.1,0.3,22.6,2,2.9,72.1,2.2,2,3.8,3.2,1.1,0.2,1.6,1
3800,75,21.8,10.5,4.2,7.9,55.1,-0.3,-1,34.9,2.4,3.6,67.8,3.6,3.7,6.6,0.7,0.5,0.6,1.4,1
3801,85,19.1,4.5,1.9,4.5,42.8,0.4,1.2,34.3,0.4,0.6,75.7,0.6,1.8,2.4,0.8,0.4,0.2,0.6,1
3802,63,19.1,8.2,3.5,6.7,52.5,0.3,0.8,23.7,0.9,1.5,66.9,0.8,2,3,1.8,0.4,0.1,1.9,1
3803,63,17.8,3.7,1.7,3.4,50.8,0.5,1.4,13.7,0.2,0.5,54,2.4,2.7,4.9,0.4,0.4,0.6,0.7,1
3804,88,20,8.8,3.7,8.7,43.6,-0.2,-0.5,6.9,2,2.8,75.1,1.8,2.9,4.7,1.8,0.4,0.3,1.1,1
3805,70,20.6,7,3.2,5.4,58.9,0.1,-0.1,-3.6,0.7,1.4,56.7,2.9,4.6,7.6,0.6,0.4,0.7,1.2,1
3806,57,17.6,5.4,1.7,4.7,37.2,0.9,2.8,33.2,1.4,1.8,78.3,0.8,1.7,2.6,0.4,0.6,0.6,0.3,1
3807,46,26.5,9.3,3.1,7.2,44,0.6,1.7,27.5,2,2.3,82.1,1.3,2.8,4.1,1.8,0.7,0.6,1.7,1
3808,64,33.4,16.9,6.4,11.3,59,0.3,1.1,-13,3.7,4.9,74.9,3.4,8,11.9,0.8,0.4,2.5,2.4,1
3809,72,30.6,13.2,4.9,11,46.9,1,2.5,48.1,2,2.8,74.1,1,3.1,3.9,4,1.1,0.2,1.5,1
3810,47,15.2,6.5,2.5,6.5,38.3,0.7,2.5,39.7,0.8,1.1,75.5,0.6,1.3,2,0.3,0.4,0.3,0.7,1
3811,41,9.8,2.3,0.9,2.3,37.9,-0.4,-0.6,-4.7,0.9,1.3,64.7,1.5,1.9,3.5,0.2,0.3,0.4,0.4,0
3812,64,29.7,12,4.2,9.6,45.2,0.8,2.1,28.3,2.7,3.3,76.8,1.5,3.1,4.8,3.8,1.5,0,2,1
3813,90,31.1,12.9,4.9,10.3,47,0.3,1.1,17,2.5,2.6,93.4,1.6,3.4,4.7,2.3,0.6,0.4,2.5,1
3814,45,5.2,1.3,0.5,1.4,41,0.1,0.1,21.1,0.2,0.2,73.3,0.3,0.7,1,0.2,0.2,0.2,0.5,1
3815,29,7.5,1.9,0.7,2.6,30.1,0.3,1,26.8,0.3,0.4,68,0.4,0.8,1.2,0.5,0.3,0.1,0.7,1
3816,53,13.8,6.7,2.1,4.7,43.5,0.2,0.7,19.8,2.7,3.8,75.1,1.1,1.9,3.1,0.2,0.4,0.6,0.7,1
3817,83,8.5,2.2,0.9,1.8,48.4,-0.3,-1,5.6,0.5,0.9,63.4,0.2,0.6,0.8,1.3,0.4,0.2,0.8,1
3818,64,10.4,5.1,2.2,4.9,45.5,-0.1,-0.2,-6.1,0.8,1.8,43.6,0.7,1,1.6,1.2,0.5,0.1,1.2,1
3819,50,22.7,14.7,5.7,11.9,50.4,0.3,1.2,24.3,3.1,4.5,68.3,1.2,2.3,3.7,2.3,0.3,0.1,1.9,1
3820,60,13.9,4.3,1.6,3.2,46.5,0,0.2,16.5,1.1,2,56.7,1.8,2.4,3.9,0.1,0.2,1.6,0.8,1
3821,64,15.7,6,2.1,4.1,50.5,0.3,0.7,14,1.6,2.1,77.2,0.7,1.6,2.2,0.7,0.5,0.3,0.9,1
3822,71,10.1,4,1.4,3,47.7,0.4,0.7,31.4,1.3,1.6,84.3,0.3,0.5,0.8,1.8,0.5,-0.2,1.6,0
3823,90,38.4,12.5,5.1,10.2,50.2,0.4,0.9,18.1,2.9,4.5,66.7,3,5.7,8.8,3.2,1.7,0.8,2.1,1
3824,34,10.5,3.3,1.2,2.7,43.6,0,0,23.4,1.2,1.7,64.9,1.5,2.4,3.8,0.5,0.2,0.6,0.6,0
